state,pop,bank,ev,margin,c,Z,n_calls,w_design,se_pp,frac_pct,at_cap
NE,2018006,5902,5,22.05,0.0121551783299149,0.0224938250140669,1949,1035.405849153412,1.1325674733013913,33.02270416807862,False
ID,2029733,5624,4,31.3,0.0019112457966326,0.0217948961427916,1889,1074.5013234515616,1.150413648073093,33.58819345661451,False
WV,1766147,5343,4,40.55,0.0003005188731913,0.0215974136635692,1872,943.454594017094,1.1556254088025608,35.03649635036496,False
HI,1432820,4191,4,30.85,0.0020912360005151,0.0213851661137102,1853,773.2433890987588,1.1615349838117046,44.21379145788595,False
MT,1144694,3371,4,18.4,0.0252229748352272,0.0212534750840439,1686,678.9406880189798,1.2177025603587075,50.01483239394838,True
RI,1114521,3293,4,18.15,0.0265161844088941,0.0212415928482899,1646,677.1087484811665,1.2324096461179097,49.98481627695111,True
DE,1059952,3034,3,15.2,0.0478348894941983,0.0206565063812178,1517,698.7158866183256,1.2837404149077418,50.0,True
SD,935094,2731,3,28.0,0.0036978637164829,0.0205683220504011,1365,685.0505494505494,1.353329904901917,49.981691688026366,True
ND,799358,2364,3,34.55,0.0009977577964843,0.0205190676725244,1182,676.2758037225042,1.454324317907875,50.0,True
AK,737270,2192,3,12.4,0.0837432255921959,0.0206118645686726,1096,672.6916058394161,1.5103052333254423,50.0,True
DC,693645,2036,3,86.8,2.8883365378049223e-08,0.0204861024331595,1018,681.3801571709233,1.5670978520180567,50.0,True
VT,644663,1914,3,30.9,0.0020704278546402,0.0204724709121208,957,673.6290491118077,1.61627045958809,50.0,True
WY,588753,1691,3,44.85,0.0001271681921554,0.0204579792549696,846,695.9255319148937,1.7190354104313224,50.02956830277942,True
